id,locationId,RoadName,RoadNumber,RoadType
aaf4a627-238a-54ff-8a1d-a8629e3d1850,bff51d42-6082-549f-a449-c7376dfc481a,Eastwoodmains Rd,A736,A-Road
c0308a4a-4b2f-5813-97f7-12a3774357f2,2bdd37f3-2cd8-5043-9506-1c214eced0b1,Clarkston Rd,B764,B-Road
63143a9a-0006-5779-ba5f-e44e7087f69d,d42aed07-5dd8-5f83-ad7e-a166b1de7237,Huntly Avenue,,Minor
09b0f58d-9f08-5841-afc3-c390b6de55d5,d42aed07-5dd8-5f83-ad7e-a166b1de7237,Fenwick Rd,A77,A-Road
2d4abfbc-745f-5807-81d1-97a44f4ea597,d42aed07-5dd8-5f83-ad7e-a166b1de7237,Ayr Rd,B769,B-Road
2a3dc67d-364a-595e-b98c-50313d1d1e9d,d42aed07-5dd8-5f83-ad7e-a166b1de7237,Davieland Rd,,Minor
b2c22eea-ce8d-5ede-aed2-8db7f1406e76,7674ea0e-4200-548a-a9f0-730594e60440,Speirsbridge Rd,A803,A-Road
59a3cbb0-a2d6-5c18-bce7-3bdff5b471a0,78d8eb6a-da85-5995-8771-02d5d6e79b88,Capelrig Rd,,Minor
adea78c5-169b-54d0-8c81-c0fe3d284e55,17a2376e-a21e-52bb-9af1-4ddc6f0df678,Paisley Rd,B771,B-Road
73a16d5f-8a18-5faa-9197-fb3047ec77dc,17a2376e-a21e-52bb-9af1-4ddc6f0df678,Carlibar Rd,A907,A-Road
b04dc9ad-c61b-566d-aef6-f0b966c5b8e0,d42aed07-5dd8-5f83-ad7e-a166b1de7237,Station Rd,B925,B-Road
100cf7ce-2979-5de9-9dc6-8ddba0989a83,ea2eac58-9e4f-524f-8ebb-9fd65a4f11f4,Visitor Centre - unnamed road,,Minor
f0834513-715a-5231-b2d7-c9bf9aefe604,17a2376e-a21e-52bb-9af1-4ddc6f0df678,Balgray Reservoir,A8,A-Road
62e7feb1-a583-5950-962a-1e77fd0b1573,7674ea0e-4200-548a-a9f0-730594e60440,Rouken Glen Rd/ Rouken Glen Park Access,A727,A-Road
e6431c79-47f7-59a2-b2b0-8bf0e47c5eec,aecb3e1b-dfbf-5a83-b374-724fe3bbdaec,Halbeath Rd,A955,A-Road
581cc950-d834-5c24-bd2d-b4382965df1c,711e1252-8f14-5d04-bd89-ea84abc60f42,Victoria Rd,B925,B-Road
92ce4c2a-93bd-5175-bd3c-ec121e758bcf,966da1f0-1c14-57bf-96dc-497e88f46b32,Normand Rd,A955,A-Road
43dbc8d9-0467-57c3-8d23-d76a73d80111,b49ae575-1f22-52c5-ad4f-90bd98d61de1,Caskieberran Drive,A905,A-Road
4f572e52-e9eb-5e88-aa5b-b1db73724b1f,4101c359-2870-5099-ac3f-dc5d4ebf9749,Methilhaven Rd,A80,A-Road
8ef790b0-5875-5f5e-909d-d9b03763a6d0,c3249183-4d5b-5007-865d-52fc8fb05f7b,Windygates Rd,A915,A-Road
a4c4fbe6-dc64-5634-904a-36b0b4134640,bf3a4739-fea0-57f8-9570-380f8b190d26,Perth Rd,,Other
41d7931d-e3d8-5bdb-8505-f4f2f6667a23,aecb3e1b-dfbf-5a83-b374-724fe3bbdaec,Aberdour Rd,,Other
79de5cc0-83f8-5a5f-a1fe-39d80b7581d4,2b102a93-0546-5e6a-a7bc-eaa529e2f34b,Grangemouth Rd,,Other
65b3d7dd-89a8-5870-b24c-db47b44a3757,2b102a93-0546-5e6a-a7bc-eaa529e2f34b,Etna Rd,A752,A-Road
81cae5f0-2a5a-5aea-8526-ab5bc09c0b8d,2b102a93-0546-5e6a-a7bc-eaa529e2f34b,Callendar Rd,,Other
3e1db8c7-d22a-5e23-afbb-31c6dab31ac9,2b102a93-0546-5e6a-a7bc-eaa529e2f34b,Camelon Rd,A803,A-Road
cc0a0d50-8905-577e-aae3-42c98b84019f,74f60ab9-3ecf-54a1-a7bc-b571492c251b,Dorrator Bridge,,Other
9104b128-fab9-5299-922d-f91fa3a0ffc4,27280d7f-aea3-5631-b185-3d93c53067a0,Dales Bridge,,Other
8aa6a738-bd13-54e2-a1cb-830b99052edf,2b102a93-0546-5e6a-a7bc-eaa529e2f34b,Abbotshaugh Bridge,,Other
9f0baa1c-dff8-5c90-b269-ad2d756c493f,26f7d3fe-ffde-544a-9e05-78fb191bee24,Castlebank St,A701,A-Road
d3bbbfbe-0e2e-513c-b96e-313ab3ca9395,26f7d3fe-ffde-544a-9e05-78fb191bee24,Victoria Rd,,Other
726c03e9-1ef2-521e-abff-e4ce4cac0d33,26f7d3fe-ffde-544a-9e05-78fb191bee24,Nithsdale Rd,,Other
2354fda8-df31-57b0-9b90-6fb4a0a5609b,26f7d3fe-ffde-544a-9e05-78fb191bee24,Allison St,,Other
f8e72b57-f802-5c94-b846-23ec81bd0f21,26f7d3fe-ffde-544a-9e05-78fb191bee24,Calder St,,Other
6b71c188-96d2-5e9d-86a1-57957f198598,26f7d3fe-ffde-544a-9e05-78fb191bee24,Saracen St,,Other
bbfc1ed7-f45f-5177-b445-eeb396ba51ae,26f7d3fe-ffde-544a-9e05-78fb191bee24,Clyde St,,Other
002af165-5a43-5b1e-b27d-1298ccab58fe,26f7d3fe-ffde-544a-9e05-78fb191bee24,Garscube Rd,A81,A-Road
1d487d87-4e05-5c3b-bb69-6d1f099d32c0,26f7d3fe-ffde-544a-9e05-78fb191bee24,Byres Rd,B808,B-Road
10de2dfc-d91a-5d48-9b52-6f42292f50c4,26f7d3fe-ffde-544a-9e05-78fb191bee24,Duke St,,Other
25e39963-354f-567a-8235-6cea851e0d4d,303aafb3-dd30-5391-9220-2a93c71401b0,Millburn Rd,B865,B-Road
afe45a71-294a-58a1-8eaa-808bf9b66311,dfeb8971-a237-503c-8421-18534a7aefbd,Barn Church Rd,A96,A-Road
ee7f03c4-a55f-57ed-8525-afa49dc8bf0f,afd8496c-7922-5739-a0e9-e91508415add,A830,A830,A-Road
177c9c0a-607d-5455-bbc4-feb190a709fc,02677d88-932f-5325-b3ba-618316154272,Inverness Rd,A96,A-Road
69da09b7-0acd-5770-bc25-b93b5d5b085c,26b6ab66-a211-5ad8-9a75-53ae84914bd7,East Hamilton St,A737,A-Road
d5ebe068-069f-5337-be79-d08aeea83d60,c761a8c5-6aed-5c3b-804c-0a33775031fb,Eskbank Rd,A6094,A-Road
22cd8fc0-3bb4-503a-9f82-0da8e50bfacf,15e28e6e-6d2c-55cc-8b54-f0a97dd0a8d5,John St,A89,A-Road
8d27aefc-90c3-5d35-b73a-43fccdcbc79d,c761a8c5-6aed-5c3b-804c-0a33775031fb,A7,A7,A-Road
776f9660-6f84-5d3c-92e1-dea0c676f9c6,9866d233-e874-5109-ba65-f104f0f95be2,Ayr Rd,A723,A-Road
7a3e6714-d1c7-5f00-ae42-c03be4520340,32fb1761-d916-5509-92cd-027955bb0582,Winton Circus,A721,A-Road
d634deb2-a3e5-5c95-b2d7-57b259313034,e357dadb-58ef-5af6-8854-56da071348b3,Coatbridge Rd,A752,A-Road
561bedb3-1603-558a-ade3-12d593b59ba9,6e41d894-5420-5b4f-8777-3fc9a8f9307d,Hamilton Rd,A723,A-Road
013f64c1-8b5f-537a-b162-fa770fa34e9a,ceaa50b9-f1fb-55f8-bf77-168d2a382411,Main St,A85,A-Road
2d0e1ffa-664b-5af0-ae7c-61c52f8ec9f8,fe192877-fe48-5733-851c-9fe2224148f2,South Carbrain Rd,A912,A-Road
1cb54764-5dbd-5111-a427-8687ed3dc4fe,d1f960e4-fa46-5ce4-9a05-5c0b85be9cbd,Sunnyside Rd,B803,B-Road
601adf8c-0808-51df-97d1-0562824b29d5,7394073b-00a0-57bc-be53-84fd5f50b651,Craigneuk Avenue,,Other
4e45f0a7-21aa-5228-9f98-657ef4f1d9ce,ceaa50b9-f1fb-55f8-bf77-168d2a382411,Alexander St,,Other
7c761ed2-c8d5-582c-ab99-67593907ff6f,d1670106-cdd9-5bb4-873e-943772e9b227,Junction Rd,A912,A-Road
a3231c4d-4b77-5f05-bbb6-0ec472d6b2a5,9759926f-2b38-5055-b901-e10e773f207a,Jeanfield Rd,A93,A-Road
7ae35850-2bf8-53b7-a32a-c6854183360a,9759926f-2b38-5055-b901-e10e773f207a,Glasgow Rd,A93,A-Road
ce5a2e5a-f9a2-59ab-9aff-1261d95a8f18,9759926f-2b38-5055-b901-e10e773f207a,Edinburgh Rd,A912,A-Road
60a69254-fee0-5d20-8dd8-7f294dc0a358,9759926f-2b38-5055-b901-e10e773f207a,Main St,A93,A-Road
be547c07-3383-54d4-ace9-037c027e4fb9,9759926f-2b38-5055-b901-e10e773f207a,Dunkeld Rd,A912,A-Road
59ed3f3b-f636-57d1-b613-9673f7625e27,9759926f-2b38-5055-b901-e10e773f207a,Tay St,,Other
4b346962-489b-578c-8b3b-1ddd40977b00,9759926f-2b38-5055-b901-e10e773f207a,Dundee Rd,A989,A-Road
0f6dfec0-1e3a-52ea-a900-684993a03117,9759926f-2b38-5055-b901-e10e773f207a,Isla Rd,A713,A-Road
ac12135a-9e9d-5ed7-b24f-489090c7b573,9759926f-2b38-5055-b901-e10e773f207a,Perth Rd,A79,A-Road
02ec703b-ac52-5c59-b790-f8b01b5abd7c,9759926f-2b38-5055-b901-e10e773f207a,Ruthvenfield Rd,A719,A-Road
d794ed6d-922b-5379-8879-50823423dda3,e2ac6700-e178-5388-aed2-f01987e294c0,Greenock Rd,B789,B-Road
79cf084b-1a7b-55a5-aae5-880ce85ea66a,5c8dcf83-dbde-5145-929d-5c03c884f442,Main Rd,B789,B-Road
d5ddc13c-27f7-592e-87ed-24013f74bc9c,1f0b8539-2b02-5547-be20-124b9b92736c,High St,A72,A-Road
a164aaff-1a91-5181-9bb9-cd7fae00c2a7,4926a412-d7b4-5504-9aa6-9d258c928632,Inchinnan Rd,A8,A-Road
a5c36488-ea98-5b47-bfa9-4eb05eb1566d,1f0b8539-2b02-5547-be20-124b9b92736c,Abercorn St,,Minor
